seed_name,unprescaled,prescale,prescaled,d_prescaled,unique,d_unique,proportional,weight
L1_Mu18er2p1_IsoTau26er2p1,1.274,1,1.274,0.190,0.000,0.000,0.213,1.606
L1_Mu20er2p1_IsoTau26er2p1,1.044,1,1.044,0.172,0.000,0.000,0.127,1.601
L1_Mu22er2p1_IsoTau28er2p1,0.849,0,0.000,0.000,0.000,0.000,0.000,1.575
L1_Mu22er2p1_IsoTau30er2p1,0.755,0,0.000,0.000,0.000,0.000,0.000,1.566
L1_Mu22er2p1_IsoTau32er2p1,0.710,0,0.000,0.000,0.000,0.000,0.000,1.564
L1_Mu22er2p1_IsoTau33er2p1,0.705,0,0.000,0.000,0.000,0.000,0.000,1.554
L1_Mu22er2p1_IsoTau34er2p1,0.661,1,0.661,0.137,0.000,0.000,0.051,1.555
L1_Mu22er2p1_IsoTau35er2p1,0.661,1,0.661,0.137,0.000,0.000,0.051,1.554
L1_Mu22er2p1_IsoTau36er2p1,0.659,1,0.659,0.137,0.000,0.000,0.051,1.549
L1_Mu22er2p1_IsoTau38er2p1,0.657,1,0.657,0.136,0.000,0.000,0.050,1.545
L1_Mu6_HTT240er,2.054,1,2.054,0.241,0.071,0.045,0.613,2.499
L1_Mu6_HTT250er,1.759,1,1.759,0.223,0.000,0.000,0.413,2.483
L1_Mu15_HTT100er,4.389,0,0.000,0.000,0.000,0.000,0.000,2.382
L1_DoubleMu0_ETMHF40_Jet60_OR_DoubleJet30,53.296,0,0.000,0.000,0.000,0.000,0.000,7.801
L1_DoubleMu0_ETMHF50_Jet60_OR_DoubleJet30,25.840,0,0.000,0.000,0.000,0.000,0.000,8.362
L1_DoubleMu0_ETMHF60_Jet60_OR_DoubleJet30,11.596,0,0.000,0.000,0.000,0.000,0.000,8.892
L1_DoubleMu0_ETMHF70_Jet60_OR_DoubleJet30,6.267,0,0.000,0.000,0.000,0.000,0.000,9.211
L1_DoubleMu0_ETMHF80_Jet60_OR_DoubleJet30,2.052,0,0.000,0.000,0.000,0.000,0.000,9.049
L1_DoubleMu3_SQ_ETMHF40_Jet60_OR_DoubleJet30,10.044,0,0.000,0.000,0.000,0.000,0.000,6.442
L1_DoubleMu3_SQ_ETMHF50_Jet60_OR_DoubleJet30,5.936,0,0.000,0.000,0.000,0.000,0.000,6.979
